ddate,timestamp,calculated_vix,market_vix,dte1,dte2,f1,f2,k0_1,k0_2,sigma1,sigma2,r1,r2,call_volume,put_volume,put_call_volume_ratio,call_oi,put_oi,put_call_oi_ratio,avg_call_iv,avg_put_iv,put_call_iv_ratio,otm_put_iv_skew,vix_diff,calc_time
2018-07-02,2024-12-22 14:21:54.371521,15.827243964292553,15.600000381469727,25,32,2727.546612800211,2727.645897460698,2730.0,2730.0,0.022392203284983342,0.024156141622242524,0.018910317541510353,0.018910317541510353,109894,127022,1.1558592825813967,351480,744813,2.1190764766131784,0.17600371155885472,0.22029681866383882,1.2516600741693604,1.4651444747333886,0.22724358282282608,1.4792773723602295
2018-07-03,2024-12-22 14:21:55.789801,16.430063368305774,16.139999389648438,24,31,2713.247659154391,2713.347190473061,2715.0,2715.0,0.02417126776924064,0.025757605894252886,0.019009374028492048,0.019009374028492048,20798,58056,2.791422252139629,363180,761369,2.0963957266369295,0.21875101171458997,0.21432843450479233,0.9797825976888834,1.4984738896449417,0.29006397865733646,1.418079137802124
2018-07-05,2024-12-22 14:21:57.220974,15.112364059224904,14.970000267028809,29,36,2738.7981219215562,2737.9961546964405,2740.0,2740.0,0.021617474695496772,0.021728473079421193,0.018613118640599294,0.018613118640599294,20454,77907,3.8088882370196537,355619,667997,1.8784063843607905,0.17003800856531048,0.21408201284796574,1.259024465496126,1.443420610165129,0.14236379219609496,1.4309756755828857
2018-07-06,2024-12-22 14:21:58.615332,13.493514413061714,13.369999885559082,28,35,2762.546310478617,2761.803350859772,2765.0,2760.0,0.016988366563669276,0.017776807026108805,0.018514042525353637,0.018514042525353637,30756,65229,2.120854467420991,364205,707883,1.9436388846940598,0.2195584745762712,0.1970655720338983,0.8975539314263216,1.4793581841452839,0.12351452750263192,1.3941693305969238
2018-07-09,2024-12-22 14:22:00.220861,12.6729094978772,12.6899995803833,25,32,2787.4965980310462,2786.9032647720114,2785.0,2785.0,0.014469876380945936,0.01545106097615045,0.018613118640599294,0.018613118640599294,75516,94745,1.2546347793845014,211377,372159,1.7606409401212053,0.14334179487179488,0.20111371794871793,1.4030361356127454,1.3970167951338008,0.017090082506101112,1.6053335666656494
2018-07-10,2024-12-22 14:22:01.568953,12.677015550096257,12.640000343322754,24,31,2796.7022383907556,2796.101843711496,2795.0,2795.0,0.014272375673145075,0.0153495759156172,0.018712189848049957,0.018712189848049957,53243,77776,1.4607741862780084,189972,352534,1.8557155791379782,0.18178017789072423,0.19575146124523507,1.0768581234578258,1.4281151911371062,0.03701520677350345,1.3478929996490479
2018-07-11,2024-12-22 14:22:02.946554,13.677372164552978,13.630000114440918,30,37,2773.1970599533147,2772.504986943831,2775.0,2775.0,0.017722469304728396,0.018404767087297096,0.018811256148191385,0.018811256148191385,44024,108486,2.464246774486644,595916,1115542,1.8719786010108808,0.21848168238993712,0.22017169811320755,1.007735274210559,1.4205133823085934,0.04737205011205958,1.3774056434631348
2018-07-12,2024-12-22 14:22:04.316453,12.594786812575908,12.579999923706055,29,36,2797.9968365225354,2797.354533510067,2800.0,2795.0,0.014885578210620793,0.01583746926844964,0.018811256148191385,0.018811256148191385,89833,129290,1.439226119577438,514930,965246,1.8745188666420678,0.20156426618049225,0.21879617137648133,1.0854908735686246,1.3854570920879774,0.014786888869853243,1.369699478149414
2018-07-13,2024-12-22 14:22:05.918386,12.221487138769495,12.180000305175781,28,35,2802.45370928044,2801.753251015836,2800.0,2800.0,0.013788383920614567,0.014993237650657498,0.018613118640599294,0.018613118640599294,120359,151558,1.2592161782666855,494521,989703,2.00133664697758,0.19396508226691042,0.22168427787934186,1.1429081734117885,1.3792489398884695,0.04148683359371397,1.601743221282959
2018-07-16,2024-12-22 14:22:07.290184,12.866745693473403,12.829999923706055,25,32,2796.0514516570524,2795.450785592632,2795.0,2795.0,0.015040532553195606,0.01588784734681432,0.018910317541510353,0.018910317541510353,41043,103870,2.5307604219964426,509111,1000393,1.9649801320340752,0.21578966148215917,0.22479478499542543,1.041731023865621,1.4224605899756324,0.036745769767348335,1.3716087341308594
2018-07-17,2024-12-22 14:22:08.658726,12.075585959485588,12.0600004196167,24,31,2810.700946102493,2810.0,2810.0,2810.0,0.01296827832966048,0.014041738003526599,0.019207472285389424,0.019207472285389424,41789,97358,2.3297518485725908,513857,1006451,1.9586207836032203,0.16873679852805887,0.2197381784728611,1.3022540452924458,1.4189107039571298,0.015585539868888887,1.3683357238769531
2018-07-18,2024-12-22 14:22:10.288095,12.133598781468,12.100000381469727,30,37,2814.599348834743,2815.250501323174,2815.0,2815.0,0.014067874978174128,0.014738336522188426,0.018910317541510353,0.018910317541510353,109284,232936,2.131473957761429,628779,1198003,1.9052846866705153,0.1545576953433307,0.218640726124704,1.414622064847828,1.4378473013425355,0.033598399998274076,1.6291701793670654
